n_iters,area
1,5.76
3,3.9168000000000003
5,3.168
7,2.1311999999999998
9,2.2464
11,1.728
13,2.3615999999999997
15,1.6128
17,1.8432
19,1.728
21,1.9584000000000001
23,1.6128
25,1.9008
27,1.4976
29,1.728
31,1.4976
33,1.5552000000000001
35,1.2671999999999999
37,1.5552000000000001
39,1.4976
41,1.3823999999999999
43,1.44
45,1.728
47,2.0736
49,1.6703999999999999
51,2.0736
53,1.5552000000000001
55,1.3823999999999999
57,1.6703999999999999
59,1.7855999999999999
61,1.2671999999999999
63,1.8432
65,1.0368
67,2.016
69,1.9584000000000001
71,1.6128
73,1.6128
75,1.2096
77,1.728
79,1.6128
81,1.5552000000000001
83,1.4976
85,1.3823999999999999
87,1.0368
89,1.5552000000000001
91,1.7855999999999999
93,1.728
95,1.44
97,1.3248
99,1.7855999999999999
101,1.6128
103,1.728
105,1.44
107,1.5552000000000001
109,1.6703999999999999
111,0.9792000000000001
113,1.3248
115,1.6703999999999999
117,1.3823999999999999
119,1.728
121,1.3823999999999999
123,1.728
125,1.6128
127,1.0944
129,1.4976
131,1.3823999999999999
133,1.44
135,2.016
137,1.6128
139,1.0368
141,1.2096
143,1.3248
145,1.3823999999999999
147,1.4976
149,1.44
151,1.6703999999999999
153,1.5552000000000001
155,1.6703999999999999
157,1.2096
159,1.9584000000000001
161,1.8432
163,1.44
165,1.3823999999999999
167,2.016
169,1.2096
171,1.44
173,1.3248
175,1.44
177,1.6703999999999999
179,1.9008
181,1.728
183,1.2671999999999999
185,1.5552000000000001
187,1.2671999999999999
189,1.0944
191,1.3248
193,1.6128
195,1.3248
197,1.728
199,1.6128
201,1.3248
203,1.44
205,1.2096
207,1.7855999999999999
209,1.728
211,1.3823999999999999
213,1.2096
215,1.9008
217,1.3248
219,1.6703999999999999
221,1.3248
223,1.5552000000000001
225,1.3248
227,1.5552000000000001
229,1.7855999999999999
231,1.728
233,1.8432
235,1.2096
237,1.4976
239,1.5552000000000001
241,1.3248
243,0.9792000000000001
245,1.5552000000000001
247,1.2671999999999999
249,1.728
251,1.6703999999999999
253,1.4976
255,1.3823999999999999
